panel	line	entry	canonical_attempt	note
skeletal_dysplasia_ajhg2023.txt	465	"SULF1, SLCO5A1"	"SULF1, SLCO5A1"	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	473	"TBX3, TBX5"	"TBX3, TBX5"	not_current_hgnc_after_official_aliases
skeletal_dysplasia_ajhg2023.txt	511	"TRPS1, EXT1"	"TRPS1, EXT1"	not_current_hgnc_after_official_aliases
val55.txt	6	OARS1	OARS1	not_current_hgnc_after_official_aliases
young_stroke.txt	5	ABCG6	ABCG6	not_current_hgnc_after_official_aliases
young_stroke.txt	6	ABCG7	ABCG7	not_current_hgnc_after_official_aliases
young_stroke.txt	19	ADPRA2A	ADPRA2A	not_current_hgnc_after_official_aliases
young_stroke.txt	22	AK097927	AK097927	not_current_hgnc_after_official_aliases
young_stroke.txt	45	B2GP1	B2GP1	not_current_hgnc_after_official_aliases
young_stroke.txt	62	COX1	COX1	not_current_hgnc_after_official_aliases
young_stroke.txt	63	COX2	COX2	not_current_hgnc_after_official_aliases
young_stroke.txt	86	FACTOR V	FACTOR V	not_current_hgnc_after_official_aliases
young_stroke.txt	164	MT1	MT1	not_current_hgnc_after_official_aliases
young_stroke.txt	223	REG2	REG2	not_current_hgnc_after_official_aliases
young_stroke.txt	224	REST-NOA1	REST-NOA1	not_current_hgnc_after_official_aliases
young_stroke.txt	251	SMCR3	SMCR3	not_current_hgnc_after_official_aliases
young_stroke.txt	295	VAMP6	VAMP6	not_current_hgnc_after_official_aliases
young_stroke.txt	308	ZFP783	ZFP783	not_current_hgnc_after_official_aliases
