SNV/indel,CNV,STR,Mitochondria
POLRMT,POLRMT,,
POMGNT1,POMGNT1,,
POMGNT2,POMGNT2,,
POMK,POMK,,
POMT1,POMT1,,
POMT2,POMT2,,
POR,POR,,
PPA2,PPA2,,
PPFIBP1,PPFIBP1,,
PPIL1,PPIL1,,
PPOX,PPOX,,
PPP1R3F,PPP1R3F,,
PPP2CA,PPP2CA,,
PPP2R2B,PPP2R2B,,
PPP2R5C,PPP2R5C,,
PPP3CA,PPP3CA,,
PPT1,PPT1,,
PRKAG2,PRKAG2,,
PRMT7,PRMT7,,
PRODH,PRODH,,
PRPF8,PRPF8,,
PRPS1,PRPS1,,
PRRT2,PRRT2,,
PSAP,PSAP,,
PSAT1,PSAT1,,
PTCD3,PTCD3,,
PTEN,PTEN,,
PTPN23,PTPN23,,
PTS,PTS,,
PUM1,PUM1,,
PURA,PURA,,
PUS1,PUS1,,
PYCR1,PYCR1,,
PYGL,PYGL,,
PYGM,PYGM,,
QARS,QARS,,
QDPR,QDPR,,
QRSL1,QRSL1,,
RAB11B,RAB11B,,
RAB18,RAB18,,
RAB5C,RAB5C,,
RAC3,RAC3,,
RALA,RALA,,
RALGAPA1,RALGAPA1,,
RARS,RARS,,
RARS2,RARS2,,
RBCK1,RBCK1,,
RBP4,RBP4,,
RELN,RELN,,
RFT1,RFT1,,
RHEB,RHEB,,
RHOBTB2,RHOBTB2,,
RMND1,RMND1,,
RNASEH1,RNASEH1,,
RNASEH2A,RNASEH2A,,
RNASEH2B,RNASEH2B,,
RNASEH2C,RNASEH2C,,
RNASET2,RNASET2,,
RNF113A,RNF113A,,
RNF13,RNF13,,
RNU2-2P,RNU2-2P,,
RNU4-2,RNU4-2,,
RNU5B-1,RNU5B-1,,
ROGDI,ROGDI,,
RORA,RORA,,
RORB,RORB,,
RPIA,RPIA,,
RPL10,RPL10,,
RRM2B,RRM2B,,
RTN4IP1,RTN4IP1,,
RTTN,RTTN,,
SACS,SACS,,
SAMHD1,SAMHD1,,
SAR1B,SAR1B,,
SARS,SARS,,
SARS2,SARS2,,
SATB1,SATB1,,
SATB2,SATB2,,
SC5D,SC5D,,
SCAF4,SCAF4,,
SCAMP5,SCAMP5,,
SCARB2,SCARB2,,
SCN1A,SCN1A,,
SCN1B,SCN1B,,
SCN2A,SCN2A,,
SCN3A,SCN3A,,
SCN8A,SCN8A,,
SCO1,SCO1,,
SCO2,SCO2,,
SCP2,SCP2,,
SDHA,SDHA,,
SDHAF1,SDHAF1,,
SDHB,SDHB,,
SDHD,SDHD,,
SEC23B,SEC23B,,
SEMA6B,SEMA6B,,
SEPSECS,SEPSECS,,
SERAC1,SERAC1,,
SERPINI1,SERPINI1,,
SETBP1,SETBP1,,
SETD1A,SETD1A,,
SETD1B,SETD1B,,
SETD5,SETD5,,
SETX,SETX,,
SFXN4,SFXN4,,
SGSH,SGSH,,
SHMT2,SHMT2,,
SHQ1,SHQ1,,
SI,SI,,
SIK1,SIK1,,
SKIV2L,SKIV2L,,
SLC12A3,SLC12A3,,
SLC12A5,SLC12A5,,
SLC13A3,SLC13A3,,
SLC13A5,SLC13A5,,
SLC16A1,SLC16A1,,
SLC16A2,SLC16A2,,
SLC17A5,SLC17A5,,
SLC18A2,SLC18A2,,
SLC19A2,SLC19A2,,
SLC19A3,SLC19A3,,
SLC1A2,SLC1A2,,
SLC1A4,SLC1A4,,
SLC22A5,SLC22A5,,
SLC25A1,SLC25A1,,
SLC25A12,SLC25A12,,
SLC25A13,SLC25A13,,
SLC25A15,SLC25A15,,
SLC25A19,SLC25A19,,
SLC25A20,SLC25A20,,
SLC25A22,SLC25A22,,
SLC25A24,SLC25A24,,
SLC25A26,SLC25A26,,
SLC25A3,SLC25A3,,
SLC25A32,SLC25A32,,
SLC25A36,SLC25A36,,
SLC25A38,SLC25A38,,
SLC25A4,SLC25A4,,
SLC25A42,SLC25A42,,
SLC25A46,SLC25A46,,
SLC2A1,SLC2A1,,
SLC2A2,SLC2A2,,
SLC30A10,SLC30A10,,
SLC32A1,SLC32A1,,
SLC35A1,SLC35A1,,
