SNV/indel,CNV,STR,Mitochondria
EYA3,EYA3,,
EZH2,EZH2,,
F13A1,F13A1,,
F2,F2,,
F5,F5,,
FA2H,FA2H,,
FAAH2,FAAH2,,
FAAP20,FAAP20,,
FADD,FADD,,
FAHD2A,FAHD2A,,
FAM111A,FAM111A,,
FAM114A1,FAM114A1,,
FAM131C,FAM131C,,
FAM149A,FAM149A,,
FAM151A,FAM151A,,
FAM170A,FAM170A,,
FAM180B,FAM180B,,
FAM186A,FAM186A,,
FAM20C,FAM20C,,
FAM219A,FAM219A,,
FAM50A,FAM50A,,
FAM71B,FAM71B,,
FAM89A,FAM89A,,
FAN1,FAN1,,
FANCA,FANCA,,
FANCC,FANCC,,
FAR1,FAR1,,
FARS2,FARS2,,
FARSB,FARSB,,
FASN,FASN,,
FASTKD2,FASTKD2,,
FAT1,FAT1,,
FAT2,FAT2,,
FAT3,FAT3,,
FAT4,FAT4,,
FBN2,FBN2,,
FBP1,FBP1,,
FBP2,FBP2,,
FBXL4,FBXL4,,
FBXO11,FBXO11,,
FBXO22,FBXO22,,
FBXO25,FBXO25,,
FBXO28,FBXO28,,
FBXO34,FBXO34,,
FBXO40,FBXO40,,
FBXO7,FBXO7,,
FBXW7,FBXW7,,
FCHO1,FCHO1,,
FCN3,FCN3,,
FCSK,FCSK,,
FDFT1,FDFT1,,
FERMT3,FERMT3,,
FFAR1,FFAR1,,
FFAR2,FFAR2,,
FGB,FGB,,
FGD1,FGD1,,
FGD6,FGD6,,
FGF1,FGF1,,
FGF12,FGF12,,
FGF13,FGF13,,
FGF8,FGF8,,
FGFR1,FGFR1,,
FGFR2,FGFR2,,
FGFR3,FGFR3,,
FGGY,FGGY,,
FH,FH,,
FHIT,FHIT,,
FHL1,FHL1,,
FIG4,FIG4,,
FIT2,FIT2,,
FKBP11,FKBP11,,
FKTN,FKTN,,
FLNA,FLNA,,
FLNC,FLNC,,
FLVCR2,FLVCR2,,
FMC1,FMC1,,
FMN2,FMN2,,
FMR1,FMR1,,
FN1,FN1,,
FN3KRP,FN3KRP,,
FNDC7,FNDC7,,
FNTB,FNTB,,
FOLR1,FOLR1,,
FOSL1,FOSL1,,
FOXA2,FOXA2,,
FOXG1,FOXG1,,
FOXJ3,FOXJ3,,
FOXP1,FOXP1,,
FOXRED1,FOXRED1,,
FOXRED2,FOXRED2,,
FPR2,FPR2,,
FRA10AC1,FRA10AC1,,
FRMD1,FRMD1,,
FRMD5,FRMD5,,
FRMPD2,FRMPD2,,
FRMPD4,FRMPD4,,
FRRS1L,FRRS1L,,
FSIP2,FSIP2,,
FSTL5,FSTL5,,
FTL,FTL,,
FTO,FTO,,
FTSJ1,FTSJ1,,
FURIN,FURIN,,
FUT1,FUT1,,
FUT8,FUT8,,
FXYD2,FXYD2,,
FYTTD1,FYTTD1,,
FZD9,FZD9,,
FZR1,FZR1,,
GABBR1,GABBR1,,
GABBR2,GABBR2,,
GABPB2,GABPB2,,
GABRA1,GABRA1,,
GABRA2,GABRA2,,
GABRA3,GABRA3,,
GABRA4,GABRA4,,
GABRA5,GABRA5,,
GABRA6,GABRA6,,
GABRB1,GABRB1,,
GABRB2,GABRB2,,
GABRB3,GABRB3,,
GABRD,GABRD,,
GABRE,GABRE,,
GABRG1,GABRG1,,
GABRG2,GABRG2,,
GABRG3,GABRG3,,
GABRP,GABRP,,
GABRQ,GABRQ,,
GABRR2,GABRR2,,
GAD1,GAD1,,
GADD45GIP1,GADD45GIP1,,
GAL,GAL,,
GALC,GALC,,
GALNS,GALNS,,
GALNT1,GALNT1,,
GALNT2,GALNT2,,
GAMT,GAMT,,
GANAB,GANAB,,
GAPDHS,GAPDHS,,
GAPT,GAPT,,
GARNL3,GARNL3,,
GARS1,GARS1,,
