gene_symbol	pheno_score
IRX5	7.6923
SMN1	7.6923
DLG5	7.6923
AXIN1	7.6923
DCPS	7.6923
FRYL	7.6923
CDK10	7.6923
FGF13	7.6923
UBR7	7.6923
BRPF1	7.6923
NIPA2	7.6923
IGF1R	7.6923
SLC29A3	7.6923
CHD4	7.6923
GTF2I	7.6923
USP18	7.6923
SMAD3	7.6923
FAM177A1	7.6923
MED25	7.6923
KIF11	7.6923
UBR1	7.6923
PAX3	7.6923
G6PC3	7.6923
BBS2	7.6923
TLL1	7.6923
EVC	7.6923
VPS33B	7.6923
TUBG1	7.6923
MYH6	7.6923
FTCD	7.6923
CHRM3	7.6923
CLCN7	7.6923
EBP	7.6923
SMG9	7.6923
NUP88	7.6923
HBA1	7.6923
TFAM	7.6923
MYLK	7.6923
SLC26A2	7.6923
FLVCR2	7.6923
AMMECR1	7.6923
CALCRL	7.6923
MYCN	7.6923
ALDH1A2	7.6923
SLC35D1	7.6923
LMOD1	7.6923
COASY	7.6923
SLC12A1	7.6923
MDFIC	7.6923
SLC25A26	7.6923
MTMR14	7.6923
DNM2	7.6923
SLC26A3	7.6923
VANGL2	7.6923
LTBP3	7.6923
TRIP11	7.6923
TNNC2	7.6923
GBE1	7.6923
DOK7	7.6923
COL11A2	7.6923
CHRNG	7.6923
ADAMTSL2	7.6923
KIF21A	7.6923
PPP1R13L	7.6923
RHD	7.6923
TAPT1	7.6923
EGFR	7.6923
TUBA1A	7.6923
MYF6	7.6923
INPPL1	7.6923
SLC25A12	7.6923
ALPL	7.6923
KCNJ6	7.6923
HIC1	7.6923
HOXD13	7.6923
PHACTR1	7.6923
CD96	7.6923
ZBTB42	7.6923
MAGED2	7.6923
AKT2	7.6923
KCNJ1	7.6923
KIDINS220	7.6923
YWHAE	7.6923
GLDN	7.6923
HBA2	7.6923
CRB2	7.6923
DIS3L2	7.6923
SLC27A4	7.6923
WDR81	7.6923
ASCL1	7.6923
ADGRG6	7.6923
MYOD1	7.6923
ANKRD17	7.6923
COG5	7.6923
DHX9	7.6923
ATXN7L3	7.6923
USP7	7.6923
PHF6	7.6923
DALRD3	7.6923
MSL3	7.6923
COX16	7.6923
STAG1	7.6923
NDUFV1	7.6923
PI4K2A	7.6923
PNPO	7.6923
KRT6B	7.6923
LDB3	7.6923
SDHAF1	7.6923
NDUFA11	7.6923
ERGIC1	7.6923
FRA10AC1	7.6923
SLC35B2	7.6923
FBLN5	7.6923
KCNJ11	7.6923
EDEM3	7.6923
PLCB4	7.6923
IL17RA	7.6923
CA12	7.6923
NOVA2	7.6923
POT1	7.6923
SLC12A6	7.6923
PRUNE1	7.6923
ARCN1	7.6923
NR2F1	7.6923
DLEC1	7.6923
PNPT1	7.6923
TRAF3IP2	7.6923
LAGE3	7.6923
ITPA	7.6923
